Eläimen numero;Nimi;Tuotoskausi numero;Tuotospäivät;Päivätuotos;Päivätuotoksen poikkeama;Päivätuotos. keskim.;Lypsyjä;Keksiarvo Ohikulut;kg väkirehua / 100 kg maitoa;Syönti yht.;Yhteensä tänään;Jäännös yhteensä;Rasva%;Valkuais%;Rasva/valkuais suhde;Märehtimismin. yht.;Paino Keskiarvo;Solut
738;Takalon Nide;1;39;40,5;-0,1;40,6;3,9;0,6;19,15;7,83;7,30;0,24;4,12;3,62;1,14;452;573;53
714;Takalon Myle;1;94;41,5;0,4;41,1;3,6;2,9;16,60;6,79;7,30;0,12;4,61;3,52;1,31;512;557;19
716;Takalon Mustus;1;16;25,1;1,7;23,4;2,1;0,6;26,00;6,24;6,00;0,09;4,00;2,99;1,34;544;571;301
666;Takalon Musa;1;231;33,4;-0,4;33,8;3,1;8,4;13,93;4,86;5,41;0,12;4,63;3,64;1,27;466;506;23
701;Takalon Murunen;1;128;25,3;-1,2;26,5;2,7;0,6;23,48;6,08;7,10;0,08;4,62;3,67;1,26;484;535;692
693;Takalon Mupu;1;243;37,5;1,0;36,5;3,0;3,4;15,42;5,81;5,94;0,09;4,95;3,59;1,38;497;533;125
705;Takalon Munkki;1;128;34,9;0,0;34,9;3,7;9,1;13,86;4,62;5,56;0,07;3,69;3,08;1,20;324;533;253
696;Takalon Molina;1;186;39,4;0,7;38,7;3,0;0,1;14,80;5,86;5,96;0,15;4,75;3,41;1,39;513;561;154
719;Takalon Mirva;1;122;35,2;0,5;34,7;3,4;2,0;19,15;6,76;6,70;0,12;4,57;3,80;1,20;534;;54
728;Takalon Mirkku;1;13;31,8;1,4;30,4;2,0;0,0;19,10;6,05;6,66;0,40;4,81;3,46;1,39;389;560;170
710;Takalon Mirana;1;124;44,6;-0,1;44,7;3,9;2,6;12,71;5,62;6,93;0,14;4,44;3,64;1,22;465;555;133
709;Takalon Minka;1;127;36,7;-1,8;38,5;2,6;0,4;12,46;4,51;5,90;0,06;4,49;3,43;1,31;506;609;294
725;Takalon Miitanen;1;9;29,5;2,8;26,7;2,0;0,0;13,70;4,14;5,55;0,40;4,89;3,56;1,37;433;570;459
911;Takalon Mido;1;77;41,3;2,8;38,5;3,1;1,3;16,08;6,56;7,30;0,09;4,07;3,30;1,23;584;526;115
718;Takalon Messevä;1;126;39,5;-0,5;40,0;3,0;0,9;17,69;7,09;6,80;0,13;4,37;3,37;1,30;522;502;277
730;Takalon Marjamehu;1;23;31,8;0,1;31,7;2,4;0,0;14,20;4,74;7,30;0,10;4,74;3,82;1,24;437;549;316
724;Takalon Marie;1;46;37,6;-0,1;37,7;3,9;1,6;16,94;6,91;7,30;0,17;4,55;3,56;1,28;296;562;142
681;Takalon Marianne;1;219;35,8;0,9;34,9;3,0;2,3;11,82;4,08;5,51;0,08;5,55;3,85;1,44;517;508;205
712;Takalon Männi;1;122;38,9;-0,7;39,6;3,9;2,4;16,03;6,14;6,70;0,10;4,05;3,60;1,13;480;563;160
708;Takalon Maine;1;123;44,0;0,7;43,3;3,6;1,1;10,73;4,70;6,70;0,13;4,60;3,52;1,31;449;582;150
687;Takalon Magi;1;216;36,8;0,0;36,8;2,9;0,3;14,29;5,37;5,76;0,05;5,54;3,87;1,43;512;573;25
717;Takalon Madiz;1;53;53,2;2,5;50,7;3,0;0,0;13,47;7,14;7,40;0,18;3,11;2,87;1,08;551;573;749
516;Takalon Ipana;5;68;50,5;-1,5;52,0;2,7;0,1;15,49;8,10;7,80;0,16;4,70;3,81;1,23;433;604;599
690;T,Mauste;1;110;40,3;-1,0;41,3;2,7;0,0;19,51;8,06;7,50;0,13;4,66;3,30;1,41;500;590;4
641;T,Limukka;2;77;48,8;1,0;47,8;3,3;1,0;15,32;7,51;7,80;0,14;4,43;3,28;1,35;422;558;393
621;T,Lagi;2;288;26,0;-1,0;27,0;2,9;1,9;14,17;3,70;4,73;0,03;5,18;3,73;1,39;495;634;5
976;T,Kannu;3;286;33,8;1,4;32,4;2,7;0,6;17,26;5,64;5,27;0,09;5,75;3,84;1,50;487;600;38
589;T,Kanelipulla;3;174;37,7;0,0;37,7;3,9;3,6;18,00;6,80;5,78;0,11;3,93;3,49;1,13;379;629;27
534;T,Impi;4;198;49,9;0,8;49,1;3,9;2,4;12,57;6,19;7,92;0,16;4,43;3,33;1,33;513;567;654
713;T, Menokas;1;90;34,5;0,2;34,3;3,4;2,4;19,19;6,58;7,40;0,16;4,76;3,62;1,31;491;543;187
697;Qtar;3;151;42,0;-0,1;42,1;3,0;0,4;17,69;7,24;6,88;0,11;5,02;3,56;1,41;524;;62
427;Myriel;1;192;40,7;-3,8;44,5;2,0;6,6;14,35;6,07;7,20;1,11;4,26;3,43;1,24;503;573;23
674;Muki;1;266;26,5;-0,7;27,2;2,4;0,1;17,34;4,70;5,22;0,53;5,75;3,60;1,60;485;556;174
683;Misty;1;261;29,0;0,6;28,4;2,3;0,4;19,51;5,35;4,84;0,13;5,64;3,61;1,56;503;555;19
664;Missi;2;61;43,4;-0,7;44,1;3,0;0,1;24,69;10,47;7,80;0,24;4,07;3,16;1,29;548;513;297
685;Mippa;1;277;30,1;-1,5;31,6;2,1;4,6;1,74;0,51;0,69;0,02;5,11;3,55;1,44;513;551;45
