;KEY;CowKEY;Records source;Farm;Cow Code;Cow Name;Calving No;CowCalvingKEY;Date;Week;CowCalvPeakProdAvg;CowCalvPeakProdAvgDIM;DistProdToday;DistProdAvg;DistFarm;DistFPM;DistWeight;DistJaanos;DistSyo;DistLyps;AngleProdToday;AngleProdAvg;AngleFarm;AngleFPM;AngleWeight;AngleJaanos;AngleSyo;AngleLyps;SlopeProdToday;SlopeProdAvg;SlopeFarm;SlopeFPM;SlopeWeight;SlopeJaanos;SlopeSyo;SlopeLyps;DiffProdToday;DiffProdAvg;DiffFarm;DiffFPM;DiffWeight;DiffJaanos;DiffSyo;DiffLyps;DiffDIM;DIM-P2;DIM-P1;Lypsy-P2;Lypsy-P1;Syo-P2;Syo-P1;Jaanos-P2;Jaanos-P1;Weight-P2;Weight-P1;FeedPerMilk-P2;FeedPerMilk-P1;FarmProd-P2;FarmProd-P1;ProdAvg-P2;ProdAvg-P1;ProdToday-P2;ProdToday-P1;Unnamed: 63
9080;LR-56388-745-S,Muistutus-20180503-1-108-39,7;LR-56388-745-S,Muistutus;LR;56388;745;S,Muistutus;1;56388-745-S,Muistutus-1;20180503;18;39,9;108;14,00892573;14,05133446;14,00141425;14,00000089;14;14,00188916;14,0014285;14,00321392;-0,035699113;0,085505294;-0,014213329;0,000357143;0;-0,016427094;0,014284743;0,021425292;-0,035714286;0,085714286;-0,014214286;0,000357143;0;-0,016428571;0,014285714;0,021428571;-0,5;1,2;-0,199;0,005;0;-0,23;0,2;0,3;14;58;44;2,7;2,4;4,38;4,18;0,08;0,31;0;0;0,115;0,11;35,693;35,892;37,3;36,1;38,3;38,8;
9100;LR-57964-56-MILE-20180508-1-108-28,8;LR-57964-56-MILE;LR;57964;56;MILE;1;57964-56-MILE-1;20180508;19;28,6;108;14,31782106;14,05133446;14,07801122;14,000112;14;14,26753307;14,12170316;14,00035714;0,211093333;0,085505294;0,105323102;0,003999979;0;-0,193959147;0,131381669;-0,007142736;0,214285714;0,085714286;0,105714286;0,004;0;-0,196428571;0,132142857;-0,007142857;3;1,2;1,48;0,056;0;-2,75;1,85;-0,1;14;27;13;1,6;1,7;5,77;3,92;0,83;3,58;0;0;0,27;0,214;32,897;31,417;17,8;16,6;22,7;19,7;
9104;LR-57964-978-LUPIINI-20180104-2-89-19,3;LR-57964-978-LUPIINI;LR;57964;978;LUPIINI;2;57964-978-LUPIINI-2;20180104;1;32,8;89;20,72414051;21,00214275;15,05571108;15,00253899;15;15,00280307;15,15047524;15,0119952;0,761511922;0,775297497;0,08605362;-0,018397924;0;0,019330925;0,141056954;0,039978687;0,953333333;0,98;0,086266667;-0,0184;0;0,019333333;0,142;0,04;14,3;14,7;1,294;-0,276;0;0,29;2,13;0,6;15;17;2;1,6;1;6,05;3,92;0,37;0,08;0;0;0,227;0,503;32,977;31,683;28,2;13,5;33,4;19,1;
9106;LR-61155-56-Minttu-20180418-2-37-37,8;LR-61155-56-Minttu;LR;61155;56;Minttu;2;61155-56-Minttu-2;20180418;16;38,3;37;19,31320792;7,138627319;7,002913965;7,000658255;7;7,027403503;7,037961353;7,034912935;-1,199905038;0,19739556;0,028849137;-0,013713426;0;0,088340901;-0,103910109;0,099668652;-2,571428571;0,2;0,028857143;-0,013714286;0;0,088571429;-0,104285714;0,1;-18;1,4;0,202;-0,096;0;0,62;-0,73;0,7;7;8;1;1,7;1;0;0,73;0,7;0,08;0;0;0;0,096;34,85;34,648;14,2;12,8;0;18;
9110;LR-61757-514-Lilli-20180507-2-110-41,6;LR-61757-514-Lilli;LR;61757;514;Lilli;2;61757-514-Lilli-2;20180507;19;41,6;110;17,68162888;18,43908891;14,00008929;14,00002604;14;14,00000357;14,01328298;14,00571312;-0,657074936;-0,708626272;0,003571413;0,001928569;0;0,000714286;-0,043543887;-0,028563658;-0,771428571;-0,857142857;0,003571429;0,001928571;0;0,000714286;-0,043571429;-0,028571429;-10,8;-12;0,05;0,027;0;0,01;-0,61;-0,4;14;27;13;3,3;3,7;4,06;4,67;0,09;0,08;0;0;0,168;0,141;34,829;34,779;28,3;40,3;24,3;35,1;
9122;LR-63299-169-Muumi (HOL)-20180502-1-44-36,7;LR-63299-169-Muumi (HOL);LR;63299;169;Muumi (HOL);1;63299-169-Muumi (HOL)-1;20180502;18;34,4;44;15,62049935;15,36749817;12,00484406;12,00045937;121,5935854;12,00106662;12,2;12,00041666;0,694738276;0,674740942;-0,028409021;-0,008749777;1,471946005;-0,013332543;0,181319774;-0,00833314;0,833333333;0,8;-0,028416667;-0,00875;10,08333333;-0,013333333;0,183333333;-0,008333333;10;9,6;-0,341;-0,105;121;-0,16;2,2;-0,1;12;16;4;1,6;1,7;5;2,8;0;0,16;121;0;0,046;0,151;35,695;36,036;28,6;19;29,4;19,4;
9137;LR-63299-36-Kosa (HOL)-20180117-3-85-45;LR-63299-36-Kosa (HOL);LR;63299;36;Kosa (HOL);3;63299-36-Kosa (HOL)-3;20180117;3;45,5;85;16,64812302;8,732124598;8,019297725;8,000360992;8;8,195632983;8,032334654;8;1,069532062;0,412410442;0,069388422;-0,009499714;0;-0,218933636;-0,089758174;0;1,825;0,4375;0,0695;-0,0095;0;-0,2225;-0,09;0;14,6;3,5;0,556;-0,076;0;-1,78;-0,72;0;8;50;42;2,3;2,3;4;4,72;0,06;1,84;0;0;0,101;0,177;32,706;32,15;35,3;31,8;41,6;27;
9147;LR-63299-630-Innostus (AY)-20180228-5-66-42,8;LR-63299-630-Innostus (AY);LR;63299;630;Innostus (AY);5;63299-630-Innostus (AY)-5;20180228;9;45,4;66;7,017834424;7,871467462;7,003089604;7,000000643;7;7,000028571;7;7,006425622;-0,071307465;-0,475010756;-0,029705545;0,000428571;0;-0,002857135;0;-0,042830933;-0,071428571;-0,514285714;-0,029714286;0,000428571;0;-0,002857143;0;-0,042857143;-0,5;-3,6;-0,208;0,003;0;-0,02;0;-0,3;7;31;24;4,3;4,6;5,2;5,2;0,16;0,18;0;0;0,143;0,14;33,108;33,316;35,9;39,5;37,3;37,8;
9172;LR-65357-245-Mestari-20180308-1-111-37;LR-65357-245-Mestari;LR;65357;245;Mestari;1;65357-245-Mestari-1;20180308;10;36,2;111;30,43041242;31,10048231;30,05735744;30,00000807;37,80211634;30,09034563;30,04157785;30,00816556;0,168390157;0,266816065;0,061787916;-0,000733333;-0,654082724;0,077511065;0,052618052;0,0233291;0,17;0,273333333;0,061866667;-0,000733333;-0,766666667;0,077666667;0,052666667;0,023333333;5,1;8,2;1,856;-0,022;-23;2,33;1,58;0,7;30;41;11;2,6;1,9;13,09;11,51;2,87;0,54;561;584;0,416;0,438;35,962;34,106;32,3;24,1;31,6;26,5;
9173;LR-66329-584-Isadonna-20171221-4-106-62,4;LR-66329-584-Isadonna;LR;66329;584;Isadonna;4;66329-584-Isadonna-4;20171221;51;62,2;106;19,00657781;19,50282031;19,08879045;19,00010445;130,3917175;19,00026316;19,23227496;19,06724941;0,026309717;-0,227567487;0,096488914;-0,003315777;-1,424560905;-0,005263109;-0,155574684;-0,084012312;0,026315789;-0,231578947;0,096789474;-0,003315789;-6,789473684;-0,005263158;-0,156842105;-0,084210526;0,5;-4,4;1,839;-0,063;-129;-0,1;-2,98;-1,6;19;34;15;2;3,6;3,08;6,06;0,06;0,16;723;852;0,086;0,149;33,35;31,511;35,9;40,3;40;39,5;
