;KEY;CowKEY;Records source;Farm;Cow Code;Cow Name;Calving No;CowCalvingKEY;Date;Week;CowCalvPeakProdAvg;CowCalvPeakProdAvgDIM;DistProdToday;DistProdAvg;DistFarm;DistFPM;DistWeight;DistJaanos;DistSyo;DistLyps;AngleProdToday;AngleProdAvg;AngleFarm;AngleFPM;AngleWeight;AngleJaanos;AngleSyo;AngleLyps;SlopeProdToday;SlopeProdAvg;SlopeFarm;SlopeFPM;SlopeWeight;SlopeJaanos;SlopeSyo;SlopeLyps;DiffProdToday;DiffProdAvg;DiffFarm;DiffFPM;DiffWeight;DiffJaanos;DiffSyo;DiffLyps;DiffDIM;DIM-P2;DIM-P1;Lypsy-P2;Lypsy-P1;Syo-P2;Syo-P1;Jaanos-P2;Jaanos-P1;Weight-P2;Weight-P1;FeedPerMilk-P2;FeedPerMilk-P1;FarmProd-P2;FarmProd-P1;ProdAvg-P2;ProdAvg-P1;ProdToday-P2;ProdToday-P1;Unnamed: 63
27;LR-103126-758-B KesÃ¤kuu-20170320-2-90-43;LR-103126-758-B KesÃ¤kuu;LR;103126;758;B KesÃ¤kuu;2;103126-758-B KesÃ¤kuu-2;20170320;12;44;90;32,61426068;33,46699867;32,07261525;32,00000006;44,55333882;32,01380327;32,01050453;32,00765533;0,194388954;0,29718083;0,067304438;-6,25E-05;0,76952648;0,029366555;0,025619393;-0,021871512;0,196875;0,30625;0,06740625;-6,25E-05;0,96875;0,029375;0,025625;-0,021875;6,3;9,8;2,157;-0,002;31;0,94;0,82;-0,7;32;45;13;2,3;3;6,02;5,2;1,07;0,13;661;630;0,144;0,146;35,922;33,765;43,3;33,5;42,6;36,3;
35;LR-103126-791-B, Easynote-20171010-2-45-48;LR-103126-791-B, Easynote;LR;103126;791;B, Easynote;2;103126-791-B, Easynote-2;20171010;41;45,9;45;25,60488235;25,40255893;22,00245989;22,00007384;24,59674775;22,00058181;22,35711073;22,0081803;0,537070551;0,523540617;0,014953431;0,002590903;0,463647609;0,007272599;0,178973359;0,027265968;0,595454545;0,577272727;0,014954545;0,002590909;0,5;0,007272727;0,180909091;0,027272727;13,1;12,7;0,329;0,057;11;0,16;3,98;0,6;22;26;4;3,6;3;6,89;2,91;0,23;0,07;704;693;0,147;0,09;33,364;33,035;44,9;32,2;45,3;32,2;
38;LR-103126-805-B, Litium-20170412-2-90-46,1;LR-103126-805-B, Litium;LR;103126;805;B, Litium;2;103126-805-B, Litium-2;20170412;15;46,7;90;46,34878639;45,83328485;45,0095265;45,0000025;51,4781507;45,01877386;45,04442252;45,00277769;0,241838956;0,190977163;0,020574874;0,000333333;0,507098504;-0,028880856;0,044415215;0,011110654;0,246666667;0,193333333;0,020577778;0,000333333;0,555555556;-0,028888889;0,044444444;0,011111111;11,1;8,7;0,926;0,015;25;-1,3;2;0,5;45;67;22;2,9;2,4;7;5;0,7;2;631;606;0,145;0,13;36,848;35,922;46,3;37,6;48,4;37,3;
73;LR-103494-440-Kakara-20180105-3-62-40,1;LR-103494-440-Kakara;LR;103494;440;Kakara;3;103494-440-Kakara-3;20180105;1;40,3;62;31,59129627;31,0227336;30,00119704;30,00021282;30;30,00000667;30,30095048;30,00266655;0,31874756;0,257487784;-0,008933096;0,003766649;0;0,000666667;0,141056954;0,013332543;0,33;0,263333333;-0,008933333;0,003766667;0;0,000666667;0,142;0,013333333;9,9;7,9;-0,268;0,113;0;0,02;4,26;0,4;30;34;4;2,4;2;6,58;2,32;0,06;0,04;0;0;0,206;0,093;26,836;27,104;34;26,1;37,1;27,2;
87;LR-103494-587-Minni-20171108-1-52-34;LR-103494-587-Minni;LR;103494;587;Minni;1;103494-587-Minni-1;20171108;45;33,4;52;28,87369045;27,74184565;22,00000184;22,00002627;22;22,01019991;22,1542795;22,0081803;0,704494064;0,655036286;-0,000409091;-0,001545453;0;0,030445135;0,118084431;0,027265968;0,85;0,768181818;-0,000409091;-0,001545455;0;0,030454545;0,118636364;0,027272727;18,7;16,9;-0,009;-0,034;0;0,67;2,61;0,6;22;24;2;2,6;2;4,9;2,29;0,75;0,08;0;0;0,163;0,197;27,238;27,247;28,5;11,6;30,3;11,6;
98;LR-103494-975-Jahka-20170717-3-54-38,3;LR-103494-975-Jahka;LR;103494;975;Jahka;3;103494-975-Jahka-3;20170717;29;39,2;54;28,72350953;28,13201024;27,02533811;27,00012452;27;27,00000185;27,17852277;27,00666584;0,34817612;0,28464723;-0,04330624;0,003037028;0;0,00037037;0,114679791;-0,022218565;0,362962963;0,292592593;-0,043333333;0,003037037;0;0,00037037;0,115185185;-0,022222222;9,8;7,9;-1,17;0,082;0;0,01;3,11;-0,6;27;29;2;2,4;3;5,34;2,23;0,08;0,07;0;0;0,152;0,07;30,352;31,522;37,9;30;37,8;28;
104;LR-103545-171-Johto-20171009-4-52-27,3;LR-103545-171-Johto;LR;103545;171;Johto;4;103545-171-Johto-4;20171009;41;35,7;52;23,05666932;23,2432786;22,37385369;22,00001911;23,40939982;22,10774525;22,07028772;22,00090907;0,303919797;0,328553171;-0,183063614;0,001318181;0,348771004;0,098768482;0,079829986;-0,009090659;0,313636364;0,340909091;-0,185136364;0,001318182;0,363636364;0,099090909;0,08;-0,009090909;6,9;7,5;-4,073;0,029;8;2,18;1,76;-0,2;22;33;11;2,7;2,9;6,79;5,03;2,28;0,1;616;608;0,203;0,174;21,294;25,367;34,6;27,1;36,3;29,4;
113;LR-103545-209-Kaneli-20180119-3-36-49,1;LR-103545-209-Kaneli;LR;103545;209;Kaneli;3;103545-209-Kaneli-3;20180119;3;45,5;36;22,76927755;22,13797642;16,00527791;16,0000125;24,8394847;16,00061249;16,40882689;16,07015868;0,791609264;0,763037674;0,025681852;0,001249999;-0,870903457;0,008749777;0,223692701;0,093476781;1,0125;0,95625;0,0256875;0,00125;-1,1875;0,00875;0,2275;0,09375;16,2;15,3;0,411;0,02;-19;0,14;3,64;1,5;16;21;5;4,9;3,4;8,15;4,51;0,23;0,09;700;719;0,181;0,161;27,483;27,072;43,8;28,5;45,1;28,9;
116;LR-103545-231-Luna-20171120-2-39-44,9;LR-103545-231-Luna;LR;103545;231;Luna;2;103545-231-Luna-2;20171120;47;44,3;39;14,76787053;16,22467257;14,00669444;14,000343;14,03566885;14,00008929;14,22146265;14,00035714;0,323891879;0,529849069;-0,030918715;-0,006999886;-0,071307465;-0,003571413;-0,176708856;0,007142736;0,335714286;0,585714286;-0,030928571;-0,007;-0,071428571;-0,003571429;-0,178571429;0,007142857;4,7;8,2;-0,433;-0,098;-1;-0,05;-2,5;0,1;14;25;11;4,1;4;6,1;8,6;0,19;0,24;566;567;0,138;0,236;26,635;27,068;42,2;34;41;36,3;
123;LR-103545-254-Manna-20170801-1-40-33;LR-103545-254-Manna;LR;103545;254;Manna;1;103545-254-Manna-1;20170801;31;31,3;40;14,86606875;15,15387739;14,00147167;14,00016514;17,80449381;14,60498545;14,37454695;14,00571312;0,34302394;0,392760666;0,014498984;0,004857105;0,665969237;-0,288833506;0,228780283;0,028563658;0,357142857;0,414285714;0,0145;0,004857143;0,785714286;-0,297142857;0,232857143;0,028571429;5;5,8;0,203;0,068;11;-4,16;3,26;0,4;14;26;12;2,4;2;6,53;3,27;4,1;8,26;534;523;0,226;0,158;27,297;27,094;26,2;20,4;27,6;22,6;
132;LR-103688-1014-Jenkka-20170320-4-78-41,1;LR-103688-1014-Jenkka;LR;103688;1014;Jenkka;4;103688-1014-Jenkka-4;20170320;12;42,3;78;29,09914088;29,24790591;29,08723089;29,00009188;29;29,0457725;29,12821484;29;-0,082570456;0,13029216;-0,077465363;0,002517236;0;-0,056147819;0,093861318;0;-0,082758621;0,131034483;-0,07762069;0,002517241;0;-0,056206897;0,094137931;0;-2,4;3,8;-2,251;0,073;0;-1,63;2,73;0;29;30;1;2;2;3,24;0,51;1,76;3,39;0;0;0,096;0,023;33,168;35,419;34;30,2;35,7;38,1;
149;LR-103688-1142-Kelly-20171102-3-37-65,3;LR-103688-1142-Kelly;LR;103688;1142;Kelly;3;103688-1142-Kelly-3;20171102;44;65,1;37;26,50679158;22,77476674;13,00140304;13,00002804;13;13,00075382;13,36682834;13,09809146;1,058201359;0,963307761;-0,014691251;0,00207692;0;0,010768814;0,234817518;0,122461057;1,776923077;1,438461538;-0,014692308;0,002076923;0;0,010769231;0,239230769;0,123076923;23,1;18,7;-0,191;0,027;0;0,14;3,11;1,6;13;22;9;3,6;2;6,82;3,71;0,25;0,11;0;0;0,105;0,078;37,241;37,432;61,7;43;64,3;41,2;
170;LR-103688-23-Melina-20180403-2-42-56,1;LR-103688-23-Melina;LR;103688;23;Melina;2;103688-23-Melina-2;20180403;14;55,7;42;22,4401426;24,8276056;18,03054079;18,00001225;18;18,0001;18,01102163;18,02775638;0,639936062;0,759762755;0,058211936;-0,001166666;0;-0,003333321;0,034985719;0,055498505;0,744444444;0,95;0,058277778;-0,001166667;0;-0,003333333;0,035;0,055555556;13,4;17,1;1,049;-0,021;0;-0,06;0,63;1;18;27;9;4,1;3,1;5,75;5,12;0;0,06;0;0;0,111;0,132;39,084;38,035;51,6;34,5;51,4;38;
176;LR-103688-672-Kukka-20170919-3-43-54,8;LR-103688-672-Kukka;LR;103688;672;Kukka;3;103688-672-Kukka-3;20170919;38;55,9;43;25,32212471;24,24953608;14,0227815;14,00002414;14;14,00188916;14,38138032;14,20422472;0,9849843;0,955340668;-0,057009586;0,001857141;0;-0,016427094;0,23081196;0,169778274;1,507142857;1,414285714;-0,057071429;0,001857143;0;-0,016428571;0,235;0,171428571;21,1;19,8;-0,799;0,026;0;-0,23;3,29;2,4;14;18;4;4,4;2;6,01;2,72;0;0,23;0;0;0,106;0,08;37,439;38,238;55,1;35,3;57,7;36,6;
178;LR-103688-71-Naomi-20180403-1-42-39;LR-103688-71-Naomi;LR;103688;71;Naomi;1;103688-71-Naomi-1;20180403;14;38,1;42;24,21652328;23,49489306;18,03054079;18,000121;18;18,00004444;18,00401066;18,00027778;0,732815102;0,698008019;0,058211936;-0,00366665;0;0,002222219;0,021107976;0,005555498;0,9;0,838888889;0,058277778;-0,003666667;0;0,002222222;0,021111111;0,005555556;16,2;15,1;1,049;-0,066;0;0,04;0,38;0,1;18;27;9;2,1;2;4,04;3,66;0,4;0,36;0;0;0,113;0,179;39,084;38,035;34,4;19,3;36,7;20,5;
185;LR-103688-953-Ilmaveivi-20170825-5-42-47,9;LR-103688-953-Ilmaveivi;LR;103688;953;Ilmaveivi;5;103688-953-Ilmaveivi-5;20170825;34;48,4;42;17,20465053;15,88238017;14,21970815;14,00000129;14;14,00300325;14,0738623;14,14213562;0,620249486;0,491809176;0,176016558;0,000428571;0;-0,020711324;0,102496699;0,141897055;0,714285714;0,535714286;0,177857143;0,000428571;0;-0,020714286;0,102857143;0,142857143;10;7,5;2,49;0,006;0;-0,29;1,44;2;14;28;14;4;2;5,46;4,02;0;0,29;0;0;0,115;0,109;38,238;35,748;45;37,5;46,9;36,9;
189;LR-103688-991-Improbatur-20170320-4-93-60,4;LR-103688-991-Improbatur;LR;103688;991;Improbatur;4;103688-991-Improbatur-4;20170320;12;59,1;93;39,55515137;38,1580922;29,08723089;29,00000622;29;29,0175826;29,14364596;29,04410439;-0,747848737;-0,707489263;-0,077465363;-0,000655172;0;0,034813515;-0,099327227;-0,055116534;-0,927586207;-0,855172414;-0,07762069;-0,000655172;0;0,034827586;-0,099655172;-0,055172414;-26,9;-24,8;-2,251;-0,019;0;1,01;-2,89;-1,6;29;45;16;2;3,6;2,05;4,94;2,3;1,29;0;0;0,068;0,087;33,168;35,419;29,6;54,4;31,5;58,4;
190;LR-103688-996-Injuska-20170505-4-53-47,3;LR-103688-996-Injuska;LR;103688;996;Injuska;4;103688-996-Injuska-4;20170505;18;46,4;53;31,9;30,20744941;22,00006145;22,00004202;22;22,00038409;22,01964804;22,00363606;0,809783573;0,7549626;0,002363632;-0,001954543;0;-0,005909022;0,042247574;0,018179815;1,05;0,940909091;0,002363636;-0,001954545;0;-0,005909091;0,042272727;0,018181818;23,1;20,7;0,052;-0,043;0;-0,13;0,93;0,4;22;29;7;2,3;1,9;4,26;3,33;0,13;0,26;0;0;0,096;0,139;36,58;36,528;43,6;22,9;47,7;24,6;
195;LR-103794-621-ivalo-20171218-5-65-53,3;LR-103794-621-ivalo;LR;103794;621;ivalo;5;103794-621-ivalo-5;20171218;51;54;65;30,48540634;32,46783023;29,05500592;29,00004843;30,08321791;29,00013965;29,25051111;29;0,31345199;0,466402423;0,061542873;0,001827584;-0,269167493;0,003103438;0,130970113;0;0,324137931;0,503448276;0,06162069;0,001827586;-0,275862069;0,003103448;0,131724138;0;9,4;14,6;1,787;0,053;-8;0,09;3,82;0;29;40;11;4;4;8,31;4,49;0,18;0,09;723;731;0,161;0,108;34,364;32,577;51,6;37;51;41,6;
204;LR-103794-675-Jelma-20171218-4-58-55,9;LR-103794-675-Jelma;LR;103794;675;Jelma;4;103794-675-Jelma-4;20171218;51;57,1;58;35,74646836;34,83518336;29,05500592;29,00006002;39,62322551;29,00008448;29,47316746;29,03377344;0,624477103;0,587206425;0,061542873;0,00203448;-0,749699051;0,002413788;0,179428639;0,048238411;0,720689655;0,665517241;0,06162069;0,002034483;-0,931034483;0,002413793;0,18137931;0,048275862;20,9;19,3;1,787;0,059;-27;0,07;5,26;1,4;29;33;4;3,4;2;8,16;2,9;0,12;0,05;732;759;0,149;0,09;34,364;32,577;52,1;32,8;54,2;33,3;
209;LR-103794-743-Kukka-20170822-3-66-49,1;LR-103794-743-Kukka;LR;103794;743;Kukka;3;103794-743-Kukka-3;20170822;34;50,7;66;33,00969555;33,06055051;33,00349072;33,00013388;65,8634952;33,00005455;33,24395283;33,01514804;0,024237677;0,06053202;-0,014544429;0,002848477;-1,046000555;0,00181818;0,12122091;0,03029376;0,024242424;0,060606061;-0,014545455;0,002848485;-1,727272727;0,001818182;0,121818182;0,03030303;0,8;2;-0,48;0,094;-57;0,06;4,02;1;33;38;5;3,6;2,6;7,71;3,69;0,14;0,08;578;635;0,189;0,095;30,011;30,491;41,7;39,7;41,3;40,5;
214;LR-103794-781-Lamppari-20180426-3-88-57,4;LR-103794-781-Lamppari;LR;103794;781;Lamppari;3;103794-781-Lamppari-3;20180426;17;56,3;88;31,67412193;32,36495018;31,00000316;31,00000006;42,44997055;31,05515255;31,008831;31,00580591;0,206683218;0,291456794;0,000451613;-6,45E-05;0,752077168;0,059606725;0,023866435;-0,019352422;0,209677419;0,3;0,000451613;-6,45E-05;0,935483871;0,059677419;0,023870968;-0,019354839;6,5;9,3;0,014;-0,002;29;1,85;0,74;-0,6;31;50;19;2;2,6;6,03;5,29;1,97;0,12;641;612;0,11;0,112;34,283;34,269;55,2;45,9;55,8;49,3;
223;LR-103794-816-Lilli-20171218-2-69-54;LR-103794-816-Lilli;LR;103794;816;Lilli;2;103794-816-Lilli-2;20171218;51;51,8;69;29,23508167;29,67642162;29,05500592;29,0000076;39,62322551;29,00044138;29,00397214;29,00155168;0,126900598;0,21391752;0,061542873;-0,000724138;-0,749699051;0,005517185;-0,016550213;-0,010344459;0,127586207;0,217241379;0,06162069;-0,000724138;-0,931034483;0,005517241;-0,016551724;-0,010344828;3,7;6,3;1,787;-0,021;-27;0,16;-0,48;-0,3;29;44;15;2,6;2,9;6,03;6,51;0,27;0,11;591;618;0,128;0,149;34,364;32,577;47,6;41,3;47,8;44,1;
234;LR-103794-925-Maluna-20180426-1-87-40;LR-103794-925-Maluna;LR;103794;925;Maluna;1;103794-925-Maluna-1;20180426;17;41;87;31,23203484;31,25699922;31,00000316;31,00002982;32,89376841;31,00004032;31,05695413;31,00064515;0,121972156;0,128323228;0,000451613;0,001387096;-0,340978953;0,001612902;0,060570977;0,006451523;0,122580645;0,129032258;0,000451613;0,001387097;-0,35483871;0,001612903;0,060645161;0,006451613;3,8;4;0,014;0,043;-11;0,05;1,88;0,2;31;49;18;2,9;2,7;7,64;5,76;0,2;0,15;622;633;0,188;0,145;34,283;34,269;40,9;36,9;41,7;37,9;
236;LR-103794-934-Nelma-20180426-1-86-42,5;LR-103794-934-Nelma;LR;103794;934;Nelma;1;103794-934-Nelma-1;20180426;17;41,7;86;33,27777036;32,9953027;31,00000316;31,00000363;32,01562119;31,00600103;31,03872581;31,01032086;0,372136037;0,349547803;0,000451613;-0,000483871;-0,252554276;-0,01967488;0,049958396;0,025800725;0,390322581;0,364516129;0,000451613;-0,000483871;-0,258064516;-0,019677419;0,05;0,025806452;12,1;11,3;0,014;-0,015;-8;-0,61;1,55;0,8;31;48;17;3,1;2,3;6,96;5,41;0,11;0,72;650;658;0,18;0,195;34,283;34,269;37,4;26,1;38,8;26,7;
286;LR-103952-1553-Kuortin LillaLena-20180327-3-40-59,6;LR-103952-1553-Kuortin LillaLena;LR;103952;1553;Kuortin LillaLena;3;103952-1553-Kuortin LillaLena-3;20180327;13;53,3;40;22,90938672;21,47091055;19,00676324;19,00006063;26,87005769;19,00026316;19,34365271;19,00026316;0,592845181;0,484477929;0,02667788;0,00252631;0,785398163;0,005263109;0,188777706;-0,005263109;0,673684211;0,526315789;0,026684211;0,002526316;1;0,005263158;0,191052632;-0,005263158;12,8;10;0,507;0,048;19;0,1;3,63;-0,1;19;25;6;3,1;3,2;6,2;2,57;0,13;0,03;806;787;0,112;0,064;33,398;32,891;51,1;41,1;54,5;41,7;
287;LR-103952-194-Maitohovin Jalopeno-20180125-4-101-51;LR-103952-194-Maitohovin Jalopeno;LR;103952;194;Maitohovin Jalopeno;4;103952-194-Maitohovin Jalopeno-4;20180125;4;51,3;101;50,1223503;50,06246099;50,00972102;50,00000025;57,30619513;50,000004;50,000676;50,0004;0,069886002;0,049958396;0,019717444;1,00E-04;0,510488322;0,0004;0,005199953;-0,003999979;0,07;0,05;0,01972;0,0001;0,56;0,0004;0,0052;-0,004;3,5;2,5;0,986;0,005;28;0,02;0,26;-0,2;50;81;31;3,7;3,9;6,31;6,05;0,13;0,11;732;704;0,127;0,122;32,251;31,265;51,3;48,8;51,1;47,6;
294;LR-103952-327-Jokitalon Normipäivä-20180430-1-24-29,4;LR-103952-327-Jokitalon Normipäivä;LR;103952;327;Jokitalon Normipäivä;1;103952-327-Jokitalon Normipäivä-1;20180430;18;27,7;24;16,34778272;15,90880259;15,00022963;15,00000963;19,84943324;15,00005333;15,07681664;15,01632445;0,408907829;0,339641289;0,005533277;0,001133333;-0,714090699;0,00266666;0,100988609;0,046632834;0,433333333;0,353333333;0,005533333;0,001133333;-0,866666667;0,002666667;0,101333333;0,046666667;6,5;5,3;0,083;0,017;-13;0,04;1,52;0,7;15;21;6;2,7;2;4,94;3,42;0,11;0,07;517;530;0,186;0,169;32,201;32,118;25,7;20,4;27;20,5;
301;LR-103952-504-M, Lumikukka-20180208-3-47-50,7;LR-103952-504-M, Lumikukka;LR;103952;504;M, Lumikukka;3;103952-504-M, Lumikukka-3;20180208;6;50,5;47;20,45702813;21,25652841;20,00849542;20,00000202;42,05948169;20,00001;20,00120996;20,00224987;0,21177616;0,345555581;-0,029141748;-0,00045;-1,075244653;0,001;0,010999556;0,014998875;0,215;0,36;-0,02915;-0,00045;-1,85;0,001;0,011;0,015;4,3;7,2;-0,583;-0,009;-37;0,02;0,22;0,3;20;33;13;3,9;3,6;5,66;5,44;0,11;0,09;702;739;0,115;0,124;31,668;32,251;48,6;41,4;49,5;45,2;
310;LR-103952-582-M, Margaret-20180208-1-78-21,2;LR-103952-582-M, Margaret;LR;103952;582;M, Margaret;1;103952-582-M, Margaret-1;20180208;6;20,6;78;20,0039996;20,00099998;20,00849542;20,00024502;28,28427125;20,0000225;20,08173548;20,00899798;0,019997334;0,009999667;-0,029141748;-0,00494996;0,785398163;-0,001499999;-0,090254135;-0,029991005;0,02;0,01;-0,02915;-0,00495;1;-0,0015;-0,0905;-0,03;0,4;0,2;-0,583;-0,099;20;-0,03;-1,81;-0,6;20;64;44;2,3;2,9;2,88;4,69;0,05;0,08;502;482;0,136;0,235;31,668;32,251;20,1;19,9;20,9;20,5;
338;LR-103976-1342-Jarrutar-20170601-4-88-53,2;LR-103976-1342-Jarrutar;LR;103976;1342;Jarrutar;4;103976-1342-Jarrutar-4;20170601;22;54,4;88;31,02321711;31,01950999;31,00627962;31,00000161;83,00602388;31,00000161;31,0100645;31;0,03869036;0,03546899;0,020126314;0,000322581;1,188052817;-0,000322581;0,025478356;0;0,038709677;0,035483871;0,020129032;0,000322581;2,483870968;-0,000322581;0,025483871;0;1,2;1,1;0,624;0,01;77;-0,01;0,79;0;31;61;30;3,7;3,7;8,45;7,66;0,12;0,13;694;617;0,157;0,147;34,306;33,682;53,8;52,7;54,6;53,4;
348;LR-103976-1445-Kirje-20170601-3-117-53,3;LR-103976-1445-Kirje;LR;103976;1445;Kirje;3;103976-1445-Kirje-3;20170601;22;52,6;117;31;31,02321711;31,00627962;31,00000006;33,24154028;31;31,00004032;31,00064515;0;-0,03869036;0,020126314;6,45E-05;-0,369333658;0;-0,001612902;0,006451523;0;-0,038709677;0,020129032;6,45E-05;-0,387096774;0;-0,001612903;0,006451613;0;-1,2;0,624;0,002;-12;0;-0,05;0,2;31;90;59;3,9;3,7;6,4;6,45;0,13;0,13;597;609;0,124;0,122;34,306;33,682;51,2;52,4;52,1;52,1;
358;LR-103976-148-Mahtava-20170721-1-51-36,9;LR-103976-148-Mahtava;LR;103976;148;Mahtava;1;103976-148-Mahtava-1;20170721;29;38,5;51;40,89058571;42,52058325;28,01570709;28,00161783;43,27817002;28,10873352;28,51975456;28,12045519;0,81652997;0,851966327;0,033487477;-0,010749586;-0,867182544;-0,087986527;0,191206669;0,09259163;1,064285714;1,142857143;0,0335;-0,01075;-1,178571429;-0,088214286;0,193571429;0,092857143;29,8;32;0,938;-0,301;-33;-2,47;5,42;2,6;28;29;1;3,6;1;6,23;0,81;0,11;2,58;548;581;0,173;0,474;36,662;35,724;36;4;36;6,2;
362;LR-103976-1510-Kirkastus-20170831-3-45-49,2;LR-103976-1510-Kirkastus;LR;103976;1510;Kirkastus;3;103976-1510-Kirkastus-3;20170831;35;48,1;45;25,18352636;24,69817807;21,0000461;21,00011336;21,21320344;21,00019286;21,47254992;21,00856968;0,584698651;0,554307496;-0,002095235;0,003285702;-0,141897055;0,004285688;0,210182587;0,028563658;0,661904762;0,619047619;-0,002095238;0,003285714;-0,142857143;0,004285714;0,213333333;0,028571429;13,9;13;-0,044;0,069;-3;0,09;4,48;0,6;21;25;4;3,1;2,5;7,35;2,87;0,14;0,05;597;600;0,165;0,096;34,268;34,312;43;30;44,1;30,2;
377;LR-103976-204-Maitotyttö-20180125-1-76-30,2;LR-103976-204-Maitotyttö;LR;103976;204;Maitotyttö;1;103976-204-Maitotyttö-1;20180125;4;30,7;76;15,20690633;15,09602597;15,05571108;15,00008333;18,02775638;15,00000333;15,0326345;15,0119952;0,165148677;0,112851804;0,08605362;-0,003333321;0,588002604;-0,000666667;-0,065904418;-0,039978687;0,166666667;0,113333333;0,086266667;-0,003333333;0,666666667;-0,000666667;-0,066;-0,04;2,5;1,7;1,294;-0,05;10;-0,01;-0,99;-0,6;15;53;38;3,1;3,7;6,24;7,23;0,09;0,1;572;562;0,204;0,254;37,345;36,051;29,9;28,2;31,2;28,7;
384;LR-103976-27-Linda-20171218-2-55-50,5;LR-103976-27-Linda;LR;103976;27;Linda;2;103976-27-Linda-2;20171218;51;49,1;55;23,70653918;23,00782476;21,3112562;21,00002438;26,40075756;21,00002143;21,00104997;21,04019962;0,482513295;0,420872161;0,171119493;-0,001523808;-0,651076721;-0,00142857;0,009999667;0,061825866;0,523809524;0,447619048;0,172809524;-0,00152381;-0,761904762;-0,001428571;0,01;0,061904762;11;9,4;3,629;-0,032;-16;-0,03;0,21;1,3;21;34;13;3,6;2,3;6,97;6,76;0,15;0,18;647;663;0,141;0,173;35,804;32,175;46,4;37;49,5;38,5;
390;LR-103976-53-Louhi-20170831-2-47-46,4;LR-103976-53-Louhi;LR;103976;53;Louhi;2;103976-53-Louhi-2;20170831;35;44,9;47;23,09025769;21,98294794;21,0000461;21,00014486;22,13594362;21,00019286;21,53271;21,00380918;0,428778027;0,300171171;-0,002095235;0,003714269;-0,321750554;0,004285688;0,222900232;-0,019045316;0,457142857;0,30952381;-0,002095238;0,003714286;-0,333333333;0,004285714;0,226666667;-0,019047619;9,6;6,5;-0,044;0,078;-7;0,09;4,76;-0,4;21;27;6;2,4;2,8;8,32;3,56;0,15;0,06;548;555;0,18;0,102;34,268;34,312;42,2;35,7;46,2;36,6;
399;LR-103976-81-Laitikkala-20180312-2-60-50,3;LR-103976-81-Laitikkala;LR;103976;81;Laitikkala;2;103976-81-Laitikkala-2;20180312;11;50,3;60;26,07220742;26,47054967;25,00478196;25,000072;25,96150997;25,000018;25,03750986;25,00179994;0,287783042;0,334891972;0,019557506;-0,002399995;0,273008703;-0,001199999;-0,054745243;0,011999424;0,296;0,348;0,01956;-0,0024;0,28;-0,0012;-0,0548;0,012;7,4;8,7;0,489;-0,06;7;-0,03;-1,37;0,3;25;39;14;3,4;3,1;7,53;8,9;0,17;0,2;658;651;0,145;0,205;38,196;37,707;50,3;41,6;52,1;44,7;
400;LR-103976-83-Lurjus-20180125-2-55-54,2;LR-103976-83-Lurjus;LR;103976;83;Lurjus;2;103976-83-Lurjus-2;20180125;4;57,1;55;16,19289968;16,63850955;15,05571108;15,0000108;21,21320344;15,00000333;15,00085331;15,00133327;0,386240259;0,447519975;0,08605362;-0,001199999;0,785398163;0,000666667;-0,010666262;-0,013332543;0,406666667;0,48;0,086266667;-0,0012;1;0,000666667;-0,010666667;-0,013333333;6,1;7,2;1,294;-0,018;15;0,01;-0,16;-0,2;15;32;17;3,1;3,3;7,11;7,27;0,13;0,12;628;613;0,128;0,146;37,345;36,051;54,1;46,9;56,4;50,3;
411;LR-104061-194-Milla-20171011-1-52-28,7;LR-104061-194-Milla;LR;104061;194;Milla;1;104061-194-Milla-1;20171011;41;28,5;52;28,93371736;29,71127732;27,07598067;27,00036296;27;27,00006667;27,00009074;27,03627193;0,367670112;0,430527195;0,074933507;-0,005185139;0;0,002222219;0,002592587;0,051805457;0,385185185;0,459259259;0,075074074;-0,005185185;0;0,002222222;0,002592593;0,051851852;10,4;12,4;2,027;-0,14;0;0,06;0,07;1,4;27;30;3;2,4;1;2,42;2,35;0,69;0,63;0;0;0,093;0,233;31,677;29,65;24,7;12,3;25;14,6;
412;LR-104061-19-Jella-20171107-4-55-47,2;LR-104061-19-Jella;LR;104061;19;Jella;4;104061-19-Jella-4;20171107;45;47,1;55;25,86426106;25,40255893;22,14683083;22,00008182;22;22,01454065;22,29421674;22,05810509;0,553681322;0,523540617;0,115214747;0,002727266;0;-0,036347621;0,162641493;0,072599454;0,618181818;0,577272727;0,115727273;0,002727273;0;-0,036363636;0,164090909;0,072727273;13,6;12,7;2,546;0,06;0;-0,8;3,61;1,6;22;28;6;4,3;2,7;5,72;2,11;0,14;0,94;0;0;0,129;0,069;34,223;31,677;44,8;32,1;47;33,4;
414;LR-104061-230-Kollaasi-20171205-3-60-50,8;LR-104061-230-Kollaasi;LR;104061;230;Kollaasi;3;104061-230-Kollaasi-3;20171205;49;50;60;32,50553799;33,01514804;27,0476621;27,00014341;27;27,00041666;27,47004914;27,02239812;0,590562325;0,613207349;-0,059374574;0,003259248;0;0,005555498;0,185258501;0,040718223;0,67037037;0,703703704;-0,059444444;0,003259259;0;0,005555556;0,187407407;0,040740741;18,1;19;-1,605;0,088;0;0,15;5,06;1,1;27;32;5;4,7;3,6;7,4;2,34;0,22;0,07;0;0;0,167;0,079;32,618;34,223;48;29;46,7;28,6;
